GENE	TCGA-OR-A5J1	TCGA-OR-A5J2	TCGA-OR-A5J3
AFP	0.0000	2.8184	23.1077
AFTPH	675.3122	883.7737	811.1391
AG2	1100.3842	428.8014	759.5912
AGAP11	38.4246	51.3072	2.9625
AGAP1	302.5937	609.1798	364.3905
AGAP2	34.4092	30.1248	80.1600
AGAP3	1642.1710	1977.7204	2897.3485
AGAP4	335.7349	207.3546	228.1144
AGAP5	24.4957	46.9548	32.1197
AGAP6	219.9808	129.6470	137.4611
AGAP7	16.8108	9.6631	7.7026
AGAP8	86.9356	45.0946	19.5527
AGA	513.9289	906.3210	422.4559
AGBL1	0.0000	0.0000	0.0000
AGBL2	42.7474	2.0132	0.0000
AGBL3	0.9606	3.2210	11.8501
AGBL4	19.6926	0.8053	8.8876
AGBL5	934.6878	931.6907	405.2733
AGER	150.8165	20.1315	60.4355
AGFG1	1084.0538	2259.1591	1059.9911
AGFG2	1710.3746	938.5314	3649.2372
AGGF1	632.0845	639.7797	1231.8175
AGK	731.0279	1210.7096	1396.5338
AGL	1023.0548	426.3856	366.7605
AGMAT	12.0077	28.1841	44.4379
AGPAT1	1283.6984	2269.3819	2006.8197
AGPAT2	537.9443	242.7861	1007.2582
AGPAT3	3619.1162	1126.1572	2626.5738
AGPAT4	383.7656	300.7649	53.9179
AGPAT5	512.4880	695.7453	1846.2450
AGPAT6	2097.0221	1502.6166	2195.2303
AGPAT9	48.9914	18.9236	25.4777
AGPHD1	34.5821	26.5736	18.3676
AGPS	927.4736	891.4237	758.4062
AGR2	0.4803	10.4684	8.2951
AGR3	0.0000	0.0000	0.0000
AGRN	766.0903	1020.6680	469.8563
AGRP	36.0231	134.4785	18224.8556
AGTPBP1	114.3132	114.7497	210.3392
AGTR1	718.0596	3006.4411	2041.1791
AGTR2	0.0000	0.8053	0.0000
AGTRAP	161.3833	1081.0626	2080.2844
AGT	343.4198	638.1692	978.8180
AGXT2L1	5.7637	0.0000	1.7775
AGXT2L2	464.6734	191.8171	361.8131
AGXT2	0.0000	0.0000	0.0000
AGXT	0.4803	0.0000	82.9507
AHCTF1	1292.5072	1608.9110	1805.3622
AHCYL1	3125.8405	2822.8416	3380.2400
AHCYL2	3255.0432	718.6952	1635.3133
AHCY	1988.4726	2904.1730	3274.7741
AHDC1	4614.3132	2230.9750	2297.7337
AHI1	268.9721	215.4073	219.8193
AHNAK2	27.3775	133.6733	867.4270
AHNAK	1545.1489	5043.7508	3616.6494
AHRR	73.0067	47.9130	749.5186
AHR	279.5389	823.3791	2892.6085
AHSA1	6034.5821	2093.6780	4357.2804
AHSA2	1871.7579	490.0012	151.6812
AHSG	0.0000	0.0000	0.0000
AHSP	0.0000	0.0000	0.5925
AICDA	0.0000	0.4026	0.0000
AIDA	1271.4169	1200.2935	969.3379
AIF1L	474.5437	3721.9153	625.0926
AIF1	368.8761	66.4340	39.6978
AIFM1	1621.0375	1112.8704	4471.0413
AIFM2	816.5226	1894.3760	358.4654
AIFM3	17.9827	106.9588	7.7026
AIG1	507.2046	672.3927	971.7079
AIM1L	0.0000	1.6105	2.9625
AIM1	30.2594	56.7709	78.2106
AIM2	0.9606	0.0000	3.5550
AIMP1	1306.5658	1036.6082	724.0290
AIMP2	338.8232	1001.0197	1081.9849
AIPL1	0.0000	0.0000	5.3325
AIP	2057.6369	1238.8937	1080.7288
AIRE	0.0000	0.4026	0.0000
AJAP1	0.9606	256.8782	4.1475
AK1	1039.8655	630.1166	1348.5410
AK2	2755.0432	1124.5467	2242.0382
AK3L1	148.8953	10.8710	801.6590
AK3	2060.9990	2502.7505	521.4042
AK5	0.9606	0.4026	40.2903
AK7	6.2440	4.4289	30.8103
AKAP10	142.6513	565.6957	335.9502
AKAP11	1116.7147	2532.9477	865.0570
AKAP12	33.1412	289.0886	66.3605
AKAP13	1690.6820	2776.9418	1017.3308
AKAP14	0.0000	0.0000	2.3700
AKAP1	594.6206	584.6193	703.3032
AKAP2	25.9126	555.1629	89.4386
AKAP3	3.8425	23.7552	16.5901
AKAP4	0.0000	0.4026	9.4801
AKAP5	11.0471	14.4947	20.1452
AKAP6	56.1960	64.0182	174.7889
AKAP7	1691.6427	483.1565	692.6381
AKAP8L	1896.7339	1056.5021	2063.6943
AKAP8	896.2536	718.2926	932.0101
AKAP9	959.1739	1992.2151	1771.5894
AKD1	44.1883	59.5893	17.7751
AKIRIN1	773.2949	1148.3019	974.0779
AKIRIN2	1138.8088	898.6710	814.6941
AKNAD1	1.4409	15.7227	1.7775
AKNA	352.5456	790.7661	104.8734
AKR1A1	1840.0576	795.5976	1641.8308
AKR1B10	1.4409	0.0000	543.9194
AKR1B15	0.0000	0.0000	14.2201
AKR1B1	6256.0038	6674.0013	85868.7602
AKR1C1	566.7627	30.1973	141.0161
AKR1C2	50.9126	7.2473	21.3302
AKR1C3	968.7800	37.4446	337.1352
AKR1C4	0.0000	0.4026	0.0000
AKR1CL1	0.0000	0.0000	0.0000
AKR1D1	0.0000	0.8053	4.1475
AKR1E2	46.1095	39.0551	53.9179
AKR7A2	1334.2939	829.0160	1539.9200
AKR7A3	37.4640	97.0339	17.1826
AKR7L	7.2046	6.8447	8.8876
AKT1S1	699.8079	939.7393	2295.3636
AKT1	4020.6532	3627.2971	13148.2743
AKT2	11049.4717	3458.5950	5737.8166
AKT3	853.0259	678.8348	250.0370
AKTIP	658.6888	402.1472	655.5355
ALAD	2157.0605	1443.0273	4531.4768
ALAS1	5319.4044	3943.7646	8062.2130
ALAS2	0.0000	0.8053	1.1850
ALB	1.4409	5.2342	5.3325
ALCAM	1099.4236	287.8807	65.7680
ALDH16A1	262.7281	438.8671	1257.2952
ALDH18A1	1064.3612	2613.0712	3153.3106
ALDH1A1	193.0836	432.0224	187.2315
ALDH1A2	701.2488	53.9525	18.3676
ALDH1A3	11.4601	120.0563	358.9868
ALDH1B1	490.8742	496.4433	2087.9870
ALDH1L1	780.4995	137.6996	1644.2009
ALDH1L2	23.0548	406.2541	14.2201
ALDH2	1833.3333	5902.5614	8641.6827
ALDH3A1	51.8732	4.8316	13.6276
ALDH3A2	35260.8069	5652.9306	7393.8676
ALDH3B1	63.4006	219.4336	667.1604
ALDH3B2	0.0000	0.8053	0.5925
